,Elevation,Latitude,Longitude,Timestamp
0,15.1,50.377552,-4.154018,2019-03-28 16:02:54+00:00
1,15.2,50.377499,-4.154131,2019-03-28 16:02:55+00:00
2,15.5,50.377567,-4.154209,2019-03-28 16:02:56+00:00
3,15.6,50.377579,-4.154272,2019-03-28 16:02:59+00:00
4,15.7,50.377612,-4.154294,2019-03-28 16:03:00+00:00
5,15.8,50.377586,-4.154269,2019-03-28 16:03:01+00:00
6,16.0,50.377618,-4.154254,2019-03-28 16:03:05+00:00
7,16.1,50.377641,-4.154284,2019-03-28 16:03:08+00:00
8,16.2,50.377662,-4.154319,2019-03-28 16:03:11+00:00
9,16.4,50.377681,-4.154361,2019-03-28 16:03:14+00:00
10,16.5,50.3777,-4.154407,2019-03-28 16:03:17+00:00
11,16.7,50.377723,-4.154446,2019-03-28 16:03:20+00:00
12,16.9,50.37775,-4.154489,2019-03-28 16:03:22+00:00
13,17.1,50.377768,-4.154523,2019-03-28 16:03:24+00:00
14,17.3,50.377784,-4.154559,2019-03-28 16:03:27+00:00
15,17.5,50.377804,-4.154602,2019-03-28 16:03:31+00:00
16,17.6,50.377833,-4.15463,2019-03-28 16:03:34+00:00
17,17.8,50.377858,-4.154665,2019-03-28 16:03:37+00:00
18,18.1,50.37788,-4.15472,2019-03-28 16:03:40+00:00
19,18.3,50.377897,-4.154773,2019-03-28 16:03:42+00:00
20,18.5,50.37792,-4.154806,2019-03-28 16:03:44+00:00
21,26.7,50.378023,-4.156962,2019-03-28 16:06:11+00:00
22,26.8,50.378043,-4.157032,2019-03-28 16:06:13+00:00
23,26.8,50.378028,-4.157079,2019-03-28 16:06:18+00:00
24,26.9,50.378012,-4.157128,2019-03-28 16:06:21+00:00
25,26.9,50.378004,-4.157185,2019-03-28 16:06:25+00:00
26,27.0,50.378006,-4.157233,2019-03-28 16:06:28+00:00
27,27.6,50.378015,-4.157289,2019-03-28 16:06:31+00:00
28,27.6,50.378029,-4.15734,2019-03-28 16:06:34+00:00
29,27.5,50.378036,-4.157404,2019-03-28 16:06:38+00:00
30,35.7,50.378565,-4.159285,2019-03-28 16:12:26+00:00
31,35.9,50.378509,-4.159172,2019-03-28 16:12:27+00:00
32,35.9,50.378549,-4.159177,2019-03-28 16:12:28+00:00
33,36.0,50.378542,-4.159241,2019-03-28 16:12:30+00:00
34,36.0,50.378542,-4.159296,2019-03-28 16:12:33+00:00
35,36.1,50.378562,-4.15934,2019-03-28 16:12:36+00:00
36,36.1,50.378573,-4.159389,2019-03-28 16:12:39+00:00
37,36.2,50.378569,-4.159442,2019-03-28 16:12:42+00:00
38,36.2,50.378564,-4.159486,2019-03-28 16:12:44+00:00
39,36.3,50.378559,-4.159537,2019-03-28 16:12:46+00:00
40,36.3,50.378554,-4.159587,2019-03-28 16:12:49+00:00
41,36.4,50.378545,-4.15964,2019-03-28 16:12:53+00:00
42,36.4,50.378538,-4.159683,2019-03-28 16:12:55+00:00
43,36.4,50.37853,-4.159729,2019-03-28 16:12:58+00:00
44,36.5,50.378527,-4.159772,2019-03-28 16:13:01+00:00
45,36.5,50.378523,-4.159814,2019-03-28 16:13:04+00:00
46,36.6,50.378532,-4.159864,2019-03-28 16:13:07+00:00
47,36.6,50.378553,-4.159908,2019-03-28 16:13:10+00:00
48,36.7,50.378572,-4.159947,2019-03-28 16:13:13+00:00
49,36.7,50.37858,-4.159997,2019-03-28 16:13:16+00:00
50,36.8,50.378589,-4.160037,2019-03-28 16:13:19+00:00
51,36.8,50.37858,-4.1601,2019-03-28 16:13:23+00:00
52,36.9,50.378566,-4.160151,2019-03-28 16:13:26+00:00
53,36.9,50.378554,-4.160191,2019-03-28 16:13:28+00:00
54,37.0,50.378543,-4.160246,2019-03-28 16:13:31+00:00
55,37.0,50.378526,-4.1603,2019-03-28 16:13:34+00:00
56,37.1,50.378524,-4.160347,2019-03-28 16:13:36+00:00
57,37.1,50.378534,-4.160398,2019-03-28 16:13:39+00:00
58,37.1,50.378534,-4.160449,2019-03-28 16:13:42+00:00
59,37.1,50.378529,-4.160491,2019-03-28 16:13:44+00:00
60,37.2,50.378518,-4.160538,2019-03-28 16:13:46+00:00
61,37.2,50.378524,-4.160594,2019-03-28 16:13:49+00:00
62,37.3,50.378526,-4.160637,2019-03-28 16:13:51+00:00
63,37.3,50.378529,-4.160691,2019-03-28 16:13:54+00:00
64,37.4,50.378529,-4.160734,2019-03-28 16:13:56+00:00
65,37.4,50.378528,-4.160792,2019-03-28 16:13:59+00:00
